0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana 
1435,RepKClark,The stories of brave survivors have changed us Now it s time to change our laws so that our daughters and granddaughters don t have to live through silence Thank you chiu for helping all women BeHeard MeToo TimesUp,0.4681818181818182,"['brave survivors', 's time', 'granddaughters don t', 'thank', 'beheard metoo timesup']",D,Massachusetts
1436,RepKClark,romer Great to meet you too,0.8,[],D,Massachusetts
1437,RepKClark, The destructive TrumpBudget goes after working families amp breaks the President s promises to the American people,-0.3,"['trumpbudget', 'families amp', 'president s', 'american people']",D,Massachusetts
1438,RepKClark, The Department Formerly Known As Justice,0.0,['formerly known'],D,Massachusetts
1439,RepKClark,Happy birthday So proud to call you a friend and colleague,0.8,[],D,Massachusetts
1440,teammoulton,The TrumpBudget released yesterday cuts 1 7 billion in funding for the Army Corps of Engineers which is responsible for dredging and keeping our waterways open Our state shouldn t have to fight the government to protect our community every year,0.1,"['trumpbudget', 'army corps', 'engineers', 'state shouldn t']",D,Massachusetts
1441,teammoulton,My office gets lots of calls from veterans amp their families seeking help with VA Aid amp Attendance benefits Confusion is common about which forms to submit Please check for the most recent forms older forms can cause problems down the road amp slow down an already slow process,-0.06805555555555556,"['veterans amp', 'va', 'amp attendance benefits confusion', 'please', 'recent forms', 'road amp', 'slow process']",D,Massachusetts
1442,teammoulton,You may have seen my post last week on my State of the Union Guest Kim Burditt from ICYMI we had a great conversation about her work to help survivors of suicide and military loss,0.23333333333333336,"['union guest', 'kim burditt', 'icymi', 'great conversation', 'military loss']",D,Massachusetts
1443,teammoulton,We lead the nation in bad traffic and you re paying a lot for it It s time for that to change Here are some ideas for where to start that I outlined today at the Chamber,-0.6999999999999998,"['bad traffic', 's time']",D,Massachusetts
1444,teammoulton,Good morning Andover I m starting my week off meeting with and the business leaders from the Chamber If our region is going to keep out competing and out innovating we must rethink our communities and commutes,0.35,"['good morning', 'andover', 'business leaders']",D,Massachusetts
1445,RepPressley, DCstatehood has PASSED the Committee Chairwoman and DCstatehood sponsor are proud to see,0.8,"['dcstatehood', 'passed', 'chairwoman', 'dcstatehood']",D,Massachusetts
1446,RepPressley, Jay Powell s response to s inquiry about the Fed s track record when it comes to achieving its full employment m,0.35,"['jay powell', 's response', 's inquiry', 'fed', 's track record', 'full employment m']",D,Massachusetts
1447,RepPressley,Did you know AAPI women are overrepresented in the most poorly paid jobs in the nation They make up 3 of the overall workforce but 4 3 of the low wage workforce For them the wage gap is even wider They can t afford to wait for AAPIEqualPay,0.024999999999999994,"['aapi', 'overall workforce', 'low wage workforce', 'wage gap', 'aapiequalpay']",D,Massachusetts
1448,RepPressley, The JusticeGuarantee bill by will Decriminalize homelessness Guarantee voting rights for EVERYBODY even,0.0,"['justiceguarantee', 'decriminalize', 'guarantee', 'everybody']",D,Massachusetts
1449,RepPressley, are holding regulators accountable Today we are discussing the state of the economy with Cha,0.0,['cha'],D,Massachusetts
1450,RepStephenLynch,I encourage the FAA to reach out to our servicemembers as part of their effort,0.0,['faa'],D,Massachusetts
1451,RepStephenLynch,The Helmets to Hardhats program has been very effective at helping our sons and daughters in uniform become part of union apprenticeship programs transition back to civilian life and help achieve diversity goals in the building trades unions,0.39,"['helmets', 'hardhats', 'union apprenticeship programs transition', 'civilian life', 'diversity goals', 'trades unions']",D,Massachusetts
1452,RepStephenLynch,I spoke w Ms Lang FAA Senior Advisor for Aviation Workforce Outreach about one of my favorite programs Helmets to Hardhats which helps connect men amp women transitioning out of military duty w rewarding careers in the construction industry,0.3,"['ms lang faa senior advisor', 'aviation workforce outreach', 'favorite programs', 'helmets', 'hardhats', 'men amp women', 'military duty w', 'construction industry']",D,Massachusetts
1453,RepStephenLynch,This morning the Aviation Subcommittee held a hearing on the future of America s aviation maintenance and manufacturing workforce where we examined how the industry has changed and the challenges we are facing to get more people to work in the aviation field,0.25,"['aviation subcommittee', 'america', 's aviation maintenance', 'aviation field']",D,Massachusetts
1454,RepStephenLynch,My thanks to CEO Jim Brett Larry Zabar Katie Dunford and Griff Doherty for the hospitality and coordinating another great event,0.5,"['ceo jim brett larry zabar katie dunford', 'griff doherty', 'great event']",D,Massachusetts
1455,USRepKeating,These are some key differences between the Trump and Clinton impeachment proceedings These are also the reasons why President Trump was impeached for obstructing Congress DefendOurDemocracy,0.0,"['key differences', 'trump', 'clinton', 'impeachment proceedings', 'trump', 'congress defendourdemocracy']",D,Massachusetts
1456,USRepKeating,I m proud to fight for the 134 000 000 people across our country with pre existing conditions who will lose coverage if Republicans win their anti health care lawsuit ProtectOurCare,0.8,"['health care lawsuit', 'protectourcare']",D,Massachusetts
1457,USRepKeating,No one should face discrimination from an insurer because they have a pre existing condition but if the GOP s Texas v U S lawsuit strikes down the Affordable Care Act insurers will be able to do just that ProtectOurCare,0.17222222222222222,"['gop s', 'texas', 's lawsuit strikes', 'care', 'act insurers', 'protectourcare']",D,Massachusetts
1458,USRepKeating,According to 54 of our neighbors under 65 here in the 9th Congressional District have pre existing conditions that s the highest percentage in Massachusetts and we are tied with seven other districts for the highest percentage in the nation ProtectOurCare,-0.125,"['according', 'congressional district', 'massachusetts', 'protectourcare']",D,Massachusetts
1459,USRepKeating,Today I voted to limit the President s ability to engage in hostilities with Iran unless Congress authorizes them or the use is necessary to defend against an imminent armed attack on the United States or our Armed Forces,0.0,"['president s ability', 'iran', 'congress', 'forces']",D,Massachusetts
1460,RepJackBergman,After decades of political inaction the momentum continues to grow as we make construction of a new Lock in Sault Ste Marie a reality,0.06818181818181818,"['political inaction', 'lock', 'sault ste marie']",R,Michigan
1461,RepJackBergman,ICYMI On the heels of announcing 123 2 million in his FY21 budget proposal for construction of a new Lock the announced they had updated the FY20 Work Plan to include an additional 50 million for the Soo Locks project,0.13636363636363635,"['icymi', 'fy21', 'budget proposal', 'lock', 'fy20', 'work plan', 'soo locks']",R,Michigan
1462,RepJackBergman, Good News The President s FY21 Budget fully funds the GLRI This bipartisan program is critical to preserving amp protecti,0.35,"['good news', 'president s', 'fy21 budget', 'glri', 'bipartisan program', 'amp protecti']",R,Michigan
1463,RepJackBergman,Good news for Mi01 FY 2021 Budget includes 123 2 million for construction of a new Poe sized Lock in Sault Ste Marie Promises made promises kept,0.41818181818181815,"['good news', 'mi01 fy', 'budget', 'poe', 'lock', 'sault ste marie promises']",R,Michigan
1464,RepJackBergman,With today s report about China s involvement in the breech we must pass the HACT Act that I introduced w to protect Americans from cyberattacks Enough is enough Cc,0.0,"['china', 's involvement', 'hact', 'enough', 'cc']",R,Michigan
1465,RepHuizenga,Good News The President s FY21 Budget fully funds the GLRI This bipartisan program is critical to preserving amp protecting the Great Lakes Last year amp I discussed the importance of the GLRI w POTUS This budget delivers on his promise to MI,0.375,"['good news', 'president s', 'fy21 budget', 'glri', 'bipartisan program', 'lakes', 'year amp', 'glri', 'potus', 'budget delivers', 'mi']",R,Michigan
1466,RepHuizenga, This constitutes an outright attack by the Chinese military on Americans through cyber warfare This sort of attack canno,-0.05,"['outright attack', 'cyber warfare', 'attack canno']",R,Michigan
1467,RepHuizenga,This week the House passed legislation authorizing funding to preserve protect and strengthen the GreatLakes The GLRI has consistently delivered positive results in WestMichigan I hope the Senate acts quickly to pass this important legislation,0.3026515151515151,"['greatlakes', 'glri', 'positive results', 'westmichigan', 'senate acts', 'important legislation']",R,Michigan
1468,RepHuizenga, Thanks to and GOPTaxCuts 6 in 10 Americans say they are better off financially than last ye,0.175,"['thanks', 'goptaxcuts']",R,Michigan
1469,RepHuizenga, JAN 2017 46 of Americans were satisfied with the economy TODAY 68 are satisfied JAN 2017 66 of Americans were,0.5,"['jan', 'today', 'jan']",R,Michigan
1470,justinamash,We ve had many terrible attorneys general in recent decades but Bill Barr represents a unique awfulness He wholly endorses the surveillance state promotes executive supremacy repeatedly undermines the Rule of Law and clearly views his role as that of a political operative,0.0035714285714285804,"['terrible attorneys', 'recent decades', 'bill barr', 'unique awfulness', 'surveillance state promotes executive supremacy', 'political operative']",R,Michigan
1471,justinamash,President Trump has presided over three years of spending and deficit increases and now his budget sets us on a path to a debt crisis When and where are the rallies to protest Trump s reckless spending,0.0,"['trump', 'deficit increases', 'debt crisis', 'trump']",R,Michigan
1472,justinamash,Please consider making a donation to my campaign even a small one Last quarter we raised more than all 10 challengers combined and 200 times more small dollar donations than the top challenger They will fight back so I ll need your help more than ever,0.1875,"['please', 'small dollar donations', 'top challenger', 'll need']",R,Michigan
1473,justinamash,We held massive rallies to protest increased federal spending and debt under President Obama,0.0,"['massive rallies', 'obama']",R,Michigan
1474,justinamash,One year ago today my friend and colleague Walter Jones passed away on his 76th birthday I miss him every day He was deeply principled and fiercely independent Above all Walter was humble gracious and kind a man of great faith and character May his memory be eternal,0.19999999999999998,"['walter jones', '76th birthday', 'walter', 'humble gracious', 'great faith', 'may']",R,Michigan
1475,RepMoolenaar, Huge thanks to Michigan Congressional Reps,0.30000000000000004,"['huge', 'michigan', 'reps']",R,Michigan
1476,RepMoolenaar,Reiterated his support for the Soo Locks signed legislation last month funding the construction of a new lock Support for the Iraqi Christian community in Michigan This bipartisan concern has been a key priority for our state It is not safe for Christians in Iraq,-0.022727272727272728,"['reiterated', 'soo locks', 'new lock', 'support', 'iraqi', 'christian community', 'michigan', 'bipartisan concern', 'key priority', 'christians', 'iraq']",R,Michigan
1477,RepMoolenaar,We had a productive meeting on Air Force One and afterwards President Trump announced Support for stopping Asian carp and invasive species from entering the Great Lakes Support for an F 35 base at Selfridge Air National Guard Base,-0.2,"['productive meeting', 'air force', 'afterwards president', 'trump', 'support', 'asian carp', 'invasive species', 'lakes support', 'selfridge', 'national guard', 'base']",R,Michigan
1478,RepMoolenaar,Thank you for the ride back to Michigan Mr President You promised to deliver a new trade deal with Mexico and Canada and you kept that promise USMCA is a win for Michigan agriculture and manufacturing,0.31212121212121213,"['thank', 'michigan mr', 'new trade', 'mexico', 'canada', 'usmca', 'michigan']",R,Michigan
1479,RepMoolenaar, Thank you to Congressman Moolenaar for an interesting meeting today students from Michigan met with,0.5,"['thank', 'moolenaar', 'interesting meeting', 'michigan']",R,Michigan
1480,RepDanKildee,I m very excited to welcome my Flint high school teacher David Blight to the tonight David now a professor at is a winning author for his biography of Frederick Douglass Prophet of Freedom,0.486875,"['flint', 'high school teacher', 'david blight', 'david', 'frederick douglass prophet']",D,Michigan
1481,RepDanKildee,Great to see you And happy birthday,0.8,['happy birthday'],D,Michigan
1482,RepDanKildee,On this day in 1937 the brave men and women of Flint organized a sit down strike helping to create the modern day labor movement On this WhiteShirtDay we remember their sacrifices in the fight for fair pay good benefits and safe working conditions for all American workers,0.39206349206349206,"['brave men', 'flint', 'modern day labor movement', 'whiteshirtday', 'good benefits', 'american workers']",D,Michigan
1483,RepDanKildee, announced the upcoming hearing in the House Ways and Means Committee on taxation and economic development in,0.2,"['ways', 'means', 'economic development']",D,Michigan
1484,RepDanKildee, BREAKING MI 05 addressing the 1st General Assembly ECWS2020 announced a historic hearing in the H,0.02500000000000001,"['breaking mi', 'general assembly', 'ecws2020', 'historic hearing']",D,Michigan
1485,RepFredUpton,Coastal Automotive in Holland stopped by my office this week and dropped off a foam cutout of MI that they created Their foam amp other products help keep passengers safe in motor vehicles Great local MI06 company that embodies the pride of our community,0.29375,"['coastal automotive', 'holland', 'foam cutout', 'mi', 'foam amp', 'motor vehicles', 'mi06']",R,Michigan
1486,RepFredUpton,The is such an important group in Congress as we try and get common sense bipartisan solutions for the American people If not us who If not now when I ll unite with anyone who wants to work together Watch more from MI06,0.13333333333333333,"['important group', 'congress', 'common sense', 'bipartisan solutions', 'american people', 'watch', 'mi06']",R,Michigan
1487,RepFredUpton,Chatted w about the HUGE victories we ve had for our Great Lakes recently Support for the Great Lakes Restoration Initiative is so important as we work to preserve our Great Lakes one of our world s greatest treasures for generations to come MI06,0.6,"['chatted', 'huge', 'lakes', 'support', 'lakes restoration initiative', 'lakes', 'world s', 'mi06']",R,Michigan
1488,RepFredUpton,The is holding an event to highlight our bipartisan accomplishments amp our goals for 2020 We are 100 committed to working together without all the fighting amp partisan rhetoric to get REAL solutions for the American people WATCH MI06,0.1,"['bipartisan accomplishments amp', 'amp partisan rhetoric', 'real', 'american people', 'watch mi06']",R,Michigan
1489,RepFredUpton,Looking forward to my weekly talk with We ll be chatting about the latest victories for the Great Lakes extending the fentanyl ban more Hope you can listen in MI06,0.6,"['looking', 'weekly talk', 'lakes', 'fentanyl ban', 'hope', 'mi06']",R,Michigan
1490,RepWalberg,The harmful practice of surprise billing leaves American workers and families with uncertainty and apprehension about how to meet their health care costs I m working with my colleagues on bipartisan solutions to provide relief for our constituents,0.0,"['harmful practice', 'surprise billing leaves', 'american workers', 'health care costs', 'bipartisan solutions']",R,Michigan
1491,RepWalberg, making government more efficient and accountable to the people is something we all should be able to,0.5,[],R,Michigan
1492,RepWalberg,Great to start the week in Manchester yesterday for a coffee hour with constituents Thanks to everyone who joined us,0.5,"['manchester', 'coffee hour', 'thanks']",R,Michigan
1493,RepWalberg, Read about and s visit to Midwest Energy amp Communications to discuss the Michigan co op s work in b,0.0,"['read', 's visit', 'midwest energy', 'communications', 'michigan', 'co op s work']",R,Michigan
1494,RepWalberg,The Taxpayers Right To Know Act my bill to shine light on wasteful federal spending passed the House this week Taxpayers deserve more transparency and this bipartisan bill aims to do just that,0.3952380952380952,"['taxpayers right', 'know', 'taxpayers', 'bipartisan bill aims']",R,Michigan
1495,RepSlotkin,From 17 to 276 in 20 years The cost of insulin has gone up so much that it s pricing people like Sarah out of their lives With diabetics making up almost 10 of our population this is reaching the level of a crisis,0.2,['sarah'],D,Michigan
1496,RepSlotkin,Today our bipartisan bill to connect veterans with service dogs in their communities just passed the House with unanimous support I m incredibly proud to co lead the PAWS Act a bill to improve veterans mental health and wellbeing through training and adopting service dogs,0.35000000000000003,"['bipartisan bill', 'service dogs', 'unanimous support', 'co lead', 'paws', 'mental health', 'service dogs']",D,Michigan
1497,RepSlotkin,Sarah is an incredible advocate for the diabetic community She s from Holly and I m thrilled she will be joining me at the State of the Union tomorrow,0.75,"['sarah', 'incredible advocate', 'diabetic community', 'holly']",D,Michigan
1498,RepSlotkin,Tonight we re rooting for Kansas City since Fish79 a alum from Rochester Hills will be BRINGING IT on the front line Plus anyone who goes viral for doing a Stone Cold Steve Austin impression on the field no less gets my enduring support,-0.2583333333333333,"['kansas', 'fish79', 'rochester', 'bringing it', 'front line', 'stone cold steve austin']",D,Michigan
1499,RepSlotkin,We need to sound the alarm bells on the cost of insulin I sat down with Sarah who will be my guest to the State of the Union on Tuesday to talk about the 9 of Michiganders who have diabetes whose insulin costs are through the roof Here s what she had to say,0.12222222222222222,"['alarm bells', 'sarah', 'michiganders', 'insulin costs']",D,Michigan
1500,RepAndyLevin,Last year we saw the highest number of major work stoppages in a decade The PROAct protects workers who bravely choose to strike amp transforms their ability to organize amp bargain collectively The people are speaking Are you listening,0.28750000000000003,"['major work stoppages', 'proact', 'protects workers', 'amp transforms', 'amp bargain']",D,Michigan
1501,RepAndyLevin, We applaud s commitment to building infrastructure necessary to move electrical vehicles across the coun,0.0,"['s commitment', 'building infrastructure', 'electrical vehicles']",D,Michigan
1502,RepAndyLevin,By gutting the EPA with a more than 25 budget cut the TrumpBudget would undoubtedly make our air and water dirtier and less safe There s no question that this budget would exacerbate the climate crisis and make our families sicker,0.2777777777777778,"['epa', 'trumpbudget', 'water dirtier', 'climate crisis', 'families sicker']",D,Michigan
1503,RepAndyLevin,The 9 billion of public school funding cuts in the disastrous TrumpBudget would do terrible harm to educators students and communities Thank you for speaking out We won t let this happen,-0.5666666666666667,"['public school', 'trumpbudget', 'terrible harm', 'educators students', 'thank']",D,Michigan
1504,RepAndyLevin, Heart Foundation,0.0,['heart'],D,Michigan
1505,RepPaulMitchell,Read my full statement on the budget proposal put forth by yesterday,0.35,"['read', 'full statement', 'budget proposal']",R,Michigan
1506,RepPaulMitchell,The economy continues to show strength as unemployment remains low at 3 6 and 225 000 jobs were added in January exceeding expectations People are getting back to work and the economy is strong JobsReport,0.14444444444444443,"['january', 'expectations people', 'jobsreport']",R,Michigan
1507,RepPaulMitchell,ICYMI Yesterday I spoke with Frank Beckmann to discuss the SOTU and Governor Whitmer s response Listen to the full interview below,0.35,"['icymi yesterday', 'frank beckmann', 'sotu', 'whitmer', 's response', 'listen', 'full interview']",R,Michigan
1508,RepPaulMitchell,Today I had the opportunity to lead the debate and achieve renewal of the GLRI I m proud to say this legislation just passed the House tonight with wide bipartisan support I will continue to support efforts like this that protect and restore our GreatLakes,0.35000000000000003,"['glri', 'wide bipartisan support', 'support efforts', 'greatlakes']",R,Michigan
1509,RepPaulMitchell,This morning I spoke with Paul Miller to discuss SOTU I was pleased to hear the President discuss some of the priorities that I ve been a vocal advocate for such as securing manufacturing jobs and rebuilding our nation s infrastructure Listen below,0.25,"['paul miller', 'sotu', 'vocal advocate', 'nation s infrastructure', 'listen']",R,Michigan
1510,RepHaleyStevens,ICYMI Last week the House passed the PROAct a bill to strengthen workers power to organize and negotiate for better pay and working conditions I was proud to stand with my brothers and sisters in the labor movement to pass this historic legislation,0.325,"['icymi', 'proact', 'workers power', 'labor movement', 'historic legislation']",D,Michigan
1511,RepHaleyStevens, NewDem Freshman Leadership Representative amp launched the bipartisan Women in STEM Caucu,0.0,"['newdem freshman', 'representative amp', 'stem caucu']",D,Michigan
1512,RepHaleyStevens,That s because women in STEM lead the way Love seeing this Alex Congratulations on your accomplishments and all that s to come,0.5,"['stem', 'love', 'alex congratulations']",D,Michigan
1513,RepHaleyStevens,After making grand promises to protect our healthcare during his State of the Union address President Trump s latest budget proposal includes drastic cuts to Medicaid and Social Security This plan would devastate Michigan families,0.3444444444444445,"['union address president', 'trump', 'budget proposal', 'drastic cuts', 'medicaid', 'social security', 'michigan']",D,Michigan
1514,RepHaleyStevens,Surprise medical bills have devastated too many Michigan families In today we are voting on a bipartisan compromise to put an end to surprise billing and protect patients across the country,0.25,"['surprise', 'medical bills', 'michigan', 'bipartisan compromise', 'surprise billing']",D,Michigan
1515,RepDebDingell,The TrumpBudget cuts 500 billion from Medicare 900 billion from Medicaid That s a recipe for a health care disaster,0.0,"['trumpbudget', 'medicare', 'medicaid', 'health care disaster']",D,Michigan
1516,RepDebDingell,50 years ago a bipartisan majority in Congress passed one of the most important conservation and civil rights laws of all time Now this law is under attack by the Trump Administration,0.45,"['bipartisan majority', 'congress', 'important conservation', 'civil rights laws', 'trump']",D,Michigan
1517,RepDebDingell,We cannot accept this as normal,0.15,[],D,Michigan
1518,RepDebDingell,Dr Hanna Attisha says it best There is no safe level for lead exposure We cannot have another repeat of the Flint Water Crisis We must put policies in place that will ensure every American has access to clean water,0.2791666666666667,"['dr hanna attisha', 'safe level', 'lead exposure', 'flint', 'crisis', 'clean water']",D,Michigan
1519,RepDebDingell, Thank you for your work to prevent the g,0.0,['thank'],D,Michigan
1520,RepRashida, The president wants to slash Medicaid while blowing up our national debt and abandoning our children and seniors The,0.2,"['medicaid', 'national debt']",D,Michigan
1521,RepRashida,And let s not forget that T Mobile admitted spending 195 000 at the Trump Hotel in DC while it was lobbying for his administration to approve it These corporations should put ConsumersFirst not lining their pockets and the pockets of a corrupt lawless President,-0.5,"['t mobile', 'trump', 'dc', 'consumersfirst', 'corrupt lawless president']",D,Michigan
1522,RepRashida,It s been almost a year since 36 of my colleagues and I wrote Chair opposing this merger and prime example of corporate greed ForThePeople,0.0,"['chair', 'prime example', 'forthepeople']",D,Michigan
1523,RepRashida,This is not a good deal for Americans Working families communities of color amp rural residents all stand to lose with increase prices the elimination of jobs amp lack of access to strong coverage This is only good for wealthy executives and shareholders,0.21388888888888888,"['working', 'families communities', 'color amp', 'rural residents', 'increase prices', 'jobs amp lack', 'strong coverage', 'wealthy executives']",D,Michigan
1524,RepRashida,More backward logic from the Trump Administration While 13thDistrictStrong struggles with pollution and our nation faces a looming climate crisis the TrumpBudget proposes to slash EPA funding by 26 5 This is just one of the many reasons to do everything we can to oppose it,0.5,"['backward logic', 'trump', '13thdistrictstrong struggles', 'climate crisis', 'trumpbudget', 'epa']",D,Michigan
1525,RepLawrence,Too often women s contributions are left out of the telling of our nation s history We must pass the Smithsonian Women s History Museum to change that InspiredByHer Thank you for your leadership on this initiative,0.0,"['too', 'women s contributions', 'nation s history', 'smithsonian', 'history', 'inspiredbyher thank']",D,Michigan
1526,RepLawrence,Over a 40 year career the typical AAPI woman starting her career today will lose at least 240 280 to the wage gap That s unacceptable AAPIEqualPay,-0.15555555555555556,"['year career', 'aapi', 'wage gap', 'aapiequalpay']",D,Michigan
1527,RepLawrence,President Trump wants to spend 2 BILLION on his useless border wall Meanwhile the TrumpBudget proposes cuts to education Medicaid SNAP amp other programs that help Americans secure their future This Administration has its priorities backward,-0.004999999999999993,"['trump', 'billion', 'useless border wall', 'trumpbudget', 'medicaid snap', 'priorities backward']",D,Michigan
1528,RepLawrence,A special welcome home to Christina Koch who returned home after 328 days in orbit setting a record for the longest single spaceflight by a woman,0.36190476190476195,"['christina koch', 'orbit setting', 'longest single spaceflight']",D,Michigan
1529,RepLawrence,The PROAct is the most significant upgrade to U S labor laws in 80 years because it s time for an economy that works for everyone not just the wealthy few,0.29375,"['proact', 'significant upgrade', 's labor laws', 's time']",D,Michigan
1530,RepHagedorn, Thank you for great conversation about your support of Great picture with Vice Chair Moe http,0.8,"['thank', 'great conversation', 'great picture', 'chair moe']",R,Minnesota
1531,RepHagedorn,Thanks to and for their continued efforts and support on this issue MN01,0.2,"['thanks', 'mn01']",R,Minnesota
1532,RepHagedorn,ICYMI Watch my speech in support of the Protecting America s Food and Agriculture Act This bill is critical to protecting America s farms and food supply by preventing the spread of African Swine Fever and other Foreign Ag Diseases across our borders,-0.0625,"['icymi watch', 'protecting america', 'agriculture act', 'america', 's farms', 'african swine', 'fever', 'ag diseases']",R,Minnesota
1533,RepHagedorn, Small business optimism is starting strong in 2020 According to the January Optimism Index 56 of SmallBiz are,0.061111111111111095,"['small', 'business optimism', 'according', 'january optimism index', 'smallbiz']",R,Minnesota
1534,RepHagedorn,Had a great meeting yesterday with small business owners from the woman owned veteran owned African American Hispanic American and Asian American communities about reforms to government contracting I will continue to fight for hardworking men and women seeking opportunities,0.06875,"['great meeting', 'small business owners', 'african', 'hispanic', 'asian american communities']",R,Minnesota
1535,RepAngieCraig, Thank you for introducing legislation that will double funding for the Recreational Tra,0.0,"['thank', 'recreational tra']",D,Minnesota
1536,RepAngieCraig,I sat down with the Assistant Secretary of the Army for Civil Works to discuss the importance of the Minnesota River Dredging project in keeping the river fully operational The river transports about 4 million tons annually worth more than 362 Million in economic value,0.21111111111111108,"['assistant secretary', 'minnesota', 'dredging', 'river transports', 'million', 'economic value']",D,Minnesota
1537,RepAngieCraig,I was also honored to have the opportunity to briefly Chair the subcommittee s hearing on local foods,0.0,"['chair', 'subcommittee s hearing', 'local foods']",D,Minnesota
1538,RepAngieCraig,This morning I introduced Kathy Zeman to Kathy farms in Rice County and she s here testifying in support of the Local Agricultural Markets Program which promotes farmers markets around the country,0.0,"['kathy zeman', 'kathy', 'rice', 'agricultural markets program', 'promotes farmers markets']",D,Minnesota
1539,RepAngieCraig,The President s budget proposes cuts to Medicare Medicaid and Social Security I ll never stand for that,0.03333333333333333,"['president s budget', 'medicare medicaid', 'social security']",D,Minnesota
1540,RepDeanPhillips,,0.0,[],D,Minnesota
1541,RepDeanPhillips,Tune in for teamwork,0.0,[],D,Minnesota
1542,RepDeanPhillips,It s time for Senate leadership to do right by the countless survivors of gun violence and bring a vote on HR8 EndGunViolence,0.14285714285714285,"['s time', 'senate leadership', 'countless survivors', 'gun violence', 'hr8 endgunviolence']",D,Minnesota
1543,RepDeanPhillips,We ve got maple Eric And chocolate And blueberry And glazed And crullers,0.0,['eric'],D,Minnesota
1544,RepDeanPhillips,It s a rainy morning in Washington D C but it s always a perfect time to meet with constituents over coffee and donuts,1.0,"['rainy morning', 'washington d', 'perfect time']",D,Minnesota
1545,BettyMcCollum04,Starting soon Day 2 of hearing from tribes in the Interior Environment Subcommittee about funding priorities for the coming year Follow along live here,0.06818181818181818,['interior environment subcommittee'],D,Minnesota
1546,BettyMcCollum04,Lena O Smith Coya Knutson Gratia Countryman Maude Kegg I voted for the Smithsonian Women s History Museum Act because too often women s contributions are left out of our nation s story These MN women amp many more belong in a museum so future generations can be InspiredByHer,0.25,"['lena', 'smith coya knutson gratia countryman maude kegg', 'smithsonian', 'history', 'museum act', 'women s contributions', 'nation s story', 'mn', 'women amp', 'future generations', 'inspiredbyher']",D,Minnesota
1547,BettyMcCollum04,3 years multiple formal requests from Congress 100 pages of redactions 0 publicly released data on the environmental impact of mining on the Rainy River Watershed What s being hidden from the American people BWCA SaveThisWilderness,-0.041666666666666664,"['multiple formal requests', 'congress', 'environmental impact', 'rainy', 'watershed', 'american people', 'bwca savethiswilderness']",D,Minnesota
1548,BettyMcCollum04,I joined NCAI this afternoon to thank them for their partnership as we go full steam ahead into the appropriations process As Chair of the Interior Environment Subcommittee we ll continue to invest in Indian health care education environmental protection amp more,0.425,"['ncai', 'full steam', 'appropriations process', 'chair', 'interior environment subcommittee', 'indian health care education environmental protection amp']",D,Minnesota
1549,BettyMcCollum04, encouraged the General Assembly audience to participate in the 2020Census and stressed its importance in f,0.05000000000000002,['general assembly audience'],D,Minnesota
1550,Ilhan, TODAY Do not miss this event feat remarks from and convo w on how we,0.0,"['today', 'event feat', 'convo w']",D,Minnesota
1551,Ilhan,Today I am proud to introduce the Pathway to PEACE a bold vision that prioritizes multilateralism and diplomacy over militarism I believe that when the United States says it champions human rights democracy and peace we should mean it Read more,0.26416666666666666,"['pathway', 'peace', 'bold vision', 'prioritizes multilateralism', 'champions human rights democracy', 'read']",D,Minnesota
1552,Ilhan, NEW Ilhan Omar has a plan for progressive foreign policy the US can stand for human rights but she also uniquely knows h,0.09659090909090909,"['new ilhan omar', 'foreign policy', 'human rights']",D,Minnesota
1553,Ilhan,I believe that when we say we champion human rights democracy and peace we should mean it,-0.15625,['champion human rights democracy'],D,Minnesota
1554,Ilhan,Just passed my amendment to sure these notifications are worded clearly and made available in multiple languages We should be allowing patients to focus on their care and recovery not forcing them to translate and comprehend bureaucratic documents,0.25,"['multiple languages', 'comprehend bureaucratic documents']",D,Minnesota
1555,RepTomEmmer, Starting Chamber Session Priorities with these business mnleg and community leaders MetroNorthProud Building,0.0,"['session priorities', 'business mnleg', 'community leaders', 'metronorthproud']",R,Minnesota
1556,RepTomEmmer,Great to see MN s charterschool law ranked fifth in the nation by for its ability to serve students MN was first in the nation to have a charter school law on the books improving access to quality education for all students charterswork,0.525,"['mn', 's charterschool law', 'mn', 'charter school law', 'quality education', 'students charterswork']",R,Minnesota
1557,RepTomEmmer,Today is SaferInternetDay which is a chance for us to create a better internet for all but specifically to make it a safer place for children Visit or to learn more,0.5,"['saferinternetday', 'safer place', 'visit']",R,Minnesota
1558,RepTomEmmer,Next Friday February 21st at 7 00pm I will be holding a town hall in Foley Hope to see you there Visit my website for more information,0.16666666666666666,"['february', 'town hall', 'foley hope', 'visit']",R,Minnesota
1559,RepTomEmmer,REMINDER Are you having trouble navigating a government agency Come visit my dedicated casework team during my mobile office hours at the Waconia City Hall from 10AM 1PM TODAY Learn more about my regular mobile office hours here,0.09999999999999999,"['reminder', 'government agency', 'casework team', 'mobile office hours', 'waconia', 'city hall', '10am 1pm', 'today learn', 'regular mobile office hours']",R,Minnesota
1560,RepPeteStauber,Great column in the Duluth News Tribune today Like PolyMet we are committed to staying the course We must overcome this setback together Our way of life and the livelihood of our region depend on it,0.8,"['great column', 'duluth', 'news tribune', 'polymet']",R,Minnesota
